source,text,created,compound,positive,negative,neutral,tweets ago
@BBCBreaking,"British couple who died at Egyptian hotel were killed by E. coli, the country's general prosecutor says https://t.co/PqSvcJ75N8",Wed Sep 12 15:02:35 +0000 2018,-0.8442,0.0,0.336,0.664,65
@BBCBreaking,"""Nothing criminal"" about men named by UK over poisoning of ex-Russian spy Sergei Skripal and daughter, Putin says https://t.co/UjoGhhCn3G",Wed Sep 12 07:06:33 +0000 2018,-0.2556,0.118,0.161,0.721,66
@BBCBreaking,"RT @bbctms: WICKET!
There it is! Anderson cleans up Shami, bowled for 0. England win the match and Jimmy Anderson takes his 564th Test wick…",Tue Sep 11 16:30:50 +0000 2018,0.658,0.154,0.0,0.846,67
@BBCBreaking,"RT @BBCSport: Uefa plans to introduce a third European club competition alongside the Champions League and Europa League from 2021.

👉 http…",Tue Sep 11 09:21:43 +0000 2018,0.5267,0.129,0.0,0.871,68
@BBCBreaking,"UK unemployment fell by 55,000 in the three months to July, ONS figures say https://t.co/XYEvJ6AbkM",Tue Sep 11 08:35:00 +0000 2018,-0.4404,0.0,0.172,0.828,69
@BBCBreaking,England's leading Test run scorer Alastair Cook dismissed for 147 in his last ever innings for his country… https://t.co/XCWX52LxXE,Mon Sep 10 14:09:41 +0000 2018,0.0,0.0,0.0,1.0,70
@BBCBreaking,"RT @bbctms: THERE IT IS!
What a moment for Alastair Cook on his last-ever Test innings he brings up his hundred! Not sure he'd have expecte…",Mon Sep 10 11:45:36 +0000 2018,-0.3707,0.0,0.096,0.904,71
@BBCBreaking,"Sweden's far right makes gains in election as establishment parties deadlocked, exit polls predict https://t.co/GXIMNX2uTb",Sun Sep 09 18:09:57 +0000 2018,0.6249,0.282,0.0,0.718,72
@BBCBreaking,"28-year-old woman charged with attempted murder after man stabbed on Saturday in Barnsley, South Yorkshire https://t.co/IQTo0Ap8cW",Sun Sep 09 17:03:42 +0000 2018,-0.8555,0.0,0.42,0.58,73
@BBCBreaking,Naomi Osaka beats Serena Williams 6-2 6-4 to win US Open - the first Japanese player to win Grand Slam singles title https://t.co/y9hsSHkKZy,Sat Sep 08 21:47:17 +0000 2018,0.8402,0.34,0.083,0.577,74
@BBCBreaking,"Woman, 28, arrested after man stabbed in Barnsley, South Yorkshire is being held on suspicion of attempted murder https://t.co/iWCXSe2gLM",Sat Sep 08 17:02:27 +0000 2018,-0.9231,0.0,0.47,0.53,75
@BBCBreaking,"One person arrested after reports man had been stabbed in Barnsley town centre, as police investigate if it was an… https://t.co/oyYQpXLyph",Sat Sep 08 09:38:43 +0000 2018,-0.7184,0.0,0.24,0.76,76
@BBCBreaking,"Police responding to ""serious incident"" in Barnsley, South Yorkshire, the force says https://t.co/hIXI30hWJ9",Sat Sep 08 09:10:30 +0000 2018,-0.0772,0.0,0.098,0.902,77
@BBCBreaking,"US rapper Mac Miller found dead at his Los Angeles home aged 26 after apparent overdose, US media report https://t.co/ytKhUKCXkC",Fri Sep 07 21:28:58 +0000 2018,-0.6486,0.0,0.185,0.815,78
@BBCBreaking,Former Donald Trump aide George Papadopoulos jailed for 14 days for lying to the FBI in Russia investigation https://t.co/SIBVvJz398,Fri Sep 07 20:45:14 +0000 2018,-0.765,0.0,0.28,0.72,79
@BBCBreaking,"BA boss ""extremely sorry"" after some customers' data stolen in ""very sophisticated criminal attack"" on website https://t.co/PGrIfzJlnG",Fri Sep 07 07:00:15 +0000 2018,-0.7871,0.14,0.427,0.433,80
@BBCBreaking,Twitter permanently bans US conspiracy theorist Alex Jones and Infowars for abusive behaviour https://t.co/6hp5VIIf7F,Thu Sep 06 20:55:50 +0000 2018,-0.8225,0.0,0.388,0.612,81
@BBCBreaking,"Obituary: Burt Reynolds - full of charm &amp; swagger, he became one of Hollywood's best-known stars… https://t.co/FNVMKFPafC",Thu Sep 06 19:28:33 +0000 2018,0.4019,0.153,0.0,0.847,82
@BBCBreaking,"Burt Reynolds dies, aged 82 - he starred in a string of hits in the 1970s, including Smokey and the Bandit &amp; Delive… https://t.co/eeqUAl3qVP",Thu Sep 06 19:06:08 +0000 2018,0.0,0.0,0.0,1.0,83
@BBCBreaking,A planned tax cut for 2.7m self-employed workers has been scrapped by the UK government https://t.co/v9Mbp69qsd,Thu Sep 06 17:00:22 +0000 2018,-0.2732,0.0,0.13,0.87,84
@BBCBreaking,"US, France, Germany and Canada agree with UK that Russian government ""almost certainly"" approved Salisbury poisoning https://t.co/zEJwB5R0mT",Thu Sep 06 15:10:53 +0000 2018,0.3245,0.298,0.159,0.543,85
